,0
637,Curious why no one knows how to write good software at all.
638,All the points are explained very nicely and in detail. Thank you so much for this.
639,Love your healthy way of life and work
640,"I only recently decided to pursue a career in tech and specifically as a data analyst and I&#39;m looking to do it with an online bootcamp. Hence, I have been watching informative videos about the field and also real people&#39;s experiences like this one. And being an athlete my whole life, I&#39;d like to keep being able to train and stay active. However, some &quot;day in the life&quot; videos I have seen almost make that impossible. Watching your video, though, made me a little positive, hopeful, and inspired for the career! I do have some questions though. How did you get to make it like this, that you can do your work but still also give time for yourself and your hobbies? Did it take too long? Are you also self-employed or something? Hope you respond. Would love to see a video on it too! New here, but love your work man!!"
641,"to talk about my self , i started university with computer science then i really enjoyed maths so i switched to mathematics but i was not aware that higher level maths is just proofs which i dont like. i just like to deal with numbers. So now i am graduating with general science 3 years degree. can you advice what i can do after graduation in order to be a data analyst like a good pay data analyst. Or is it require to have a 4 year degree ? please let me know i am feeling very stuck right now"
642,not an offensive comment sorry
643,you have showed everything except data analysis..do you even work?? lol
644,This shows that it&#39;s all about organizing your time and following it up.
645,"How do I get this lifestyle? I sake up at 540am. Clock in at 555 am, sit there until 525pm working the entire time and then repeat."
646,Awesome 👏
647,I&#39;m starting in data and definitely approve on riding mountain bikes!
648,"hello, i am a junior analyst and applied for 150 jobs. i will get a data analyst job soon and curious how my day will be :D. It is a lot of sport there, would be a dream if my company would help me with that. <br>Take care about data pipelines, building dashboards, meeting people, explain stuff to non-techs for 8 hours i expected. For a someone who never has seen and university its a weird feeling to spend the time so much differently is really nice."
649,Can anybody from another country work in this position?
650,"Looks like a really cool and fun routine, but I am wondering how many hours you are working every week? Looks like you were only working 5.5 hours that day"
651,Hey that really doesn&#39;t look even close to my day as a data analyst :-/ Either you are super-efficient in those 5 hours of work or I am doing everything wrong.
652,"My buddy and I do gravel riding before work, you can just add it to your calendar as a &quot;rolling work sync&quot;. Also, &quot;check email&quot;, don&#39;t you mean check Slack for an hour? ....also, I just joined a CrossFit gym haha"
653,"Hi, great and very informative video! It is about my boyfriend wnating to be a data scientist. Can i ask you some advice? He has a bachelor degree in business and a master degree in financial counseling. And he finished the 6 month data analyst course at flatiron boot camp before 2 months. the boot camp introduced him a company and the company suggested him a bussiness analyst position of 56000 dollars salary. He wants this position very much.  Im worried that this salary would be too low, considering his background 😭"
654,Now do day in the life of a submariner
655,You&#39;re watching TED 😂😂😂😂😂😂 That&#39;s how I decompress. His voice is so calming.
656,I am a single mother and I should say- you are living the dream daily life!
657,Do mostly data analysts work from home? I mostly want to work with a sports team as a data analyst.
658,I have almost no idea what you actually do.
659,Congratulations on the 700 subs. Amazing video as usual.<br>Also please do a video on Jupyter notebook shortcuts or visualisation tutorials using not so complicated libraries like matplotlib
660,"Thanks Luke, this is informative. I am Data Scientist from India using 2020 13inch mac pro m1. Can you do a video on how to use dual monitor setup in mac?"
661,I don’t have a Mac computer
662,Can you do this same video but for Windows users?
663,what&#39;s theme are you using in iterm?
664,"Hey Luke, I have been watching your videos and till now, I was under the impression that you are a relatively famous Youtuber :D Best of luck and full support! I love this video."
665,Awesome videos! Love your channel. Keep it up. Love to see more tips and tricks for mac(first time user). Planning to buy a MBP 13M1
666,Love keyboard shortcuts! That’s 8 days of mountain bike riding you could have back!
667,See I told ya to cover general topics that many will find relatable to and here you are!! This video is about to blow up
668,Love all videos keep up the work <br>Early gang:
669,"Thanks! Great, simple method!"
670,Hi Luke! Which parallels desktop edition to purchase for beginner data analysts?
671,Thanks! Do you think the Mac gets slower because of Windows (Paralelles)?
672,"Hello, Luke! Been a while since you posted this video. Im wondering if you have had any issues working with Power BI during this time. Considering buying the M1 Max 32GB 16 version my self, so would been nice with and update on this. Thanks!"
673,"also have a mac with an M1 wanted to load it but it was there ,,To access this page,you need to be a member of the windows Insider program&#39;&#39; help"
674,"Hey Luke, Great Video thank you, will download Parallels tonight, Can I also use SQL Server Management Studio inside Windows on Parallels?"
675,Nice video! Do you keep your data inside the VM? What if you have a small SSD (256gb) and you need to work with an external SSD?
676,"Hey thanks for the video,  I am considering buying the new Macbook Pro with M1 Pro/Max but I must run Windows on it (because I must use Microsoft Office that runs on Windows, the Office for MacOS doesn&#39;t meet my work requirements which sucks). <br><br>Do you have any troubles using Microsoft Office for Windows that runs through Parallel, on your M1 Mac?<br><br>Thanks, honestly Microsoft Office is the only thing keeping me from pre-ordering the new Mac Pro with M1 Max chip now."
677,Thank you for this! How can we use SQL on MacOS?
678,"Super helpful video, now I can use PowerBI on my Mac"
679,Hi could you please confirm that Parrelel can run the SAP?<br><br>Awaiting response and thanks in advance.
680,"Hi there!  my old laptop is dead and I need an urgent one.  I thought about buying a Mac book air m1 with 16 gb RAM and 256 gb SSD for university use (taking advantage of the discount) and I am thinking about the possibility of doing a master in &quot;big data and business analytics&quot;.  It is not sure but I wanted to know if it would be ok for that and excel (data base), sql, power BI, access, sap. Or if I should buy a windows pc.  I saw that in a previous video of yours you had compared it to a Dell, but it is more expensive.  Thanks in advance.  🙏"
681,"Thanks a lol! I was thinking change my air with i3 for a M1 to emulate and use PBI. Thank, thanks"
682,Is parallels still available?
683,"Does autoCAD or revit work through parallels? I&#39;m starting school as a civil engineering student, and I would like to know if the m1 mac can run typical engineering programs that usually only work on windows?"
684,Hello sir i want to do power bi course.  Can you suggest me to have macbook m1 or any other laptop.
685,"Hi, Mr. Luke, first of all, congratulations of your channel. I&#39;d like to know. Does your mac is 8gb or 16gb ram? whats your opinion about use a Mac with parallels or a windows with 16ram to use power bi related about the performance to de PBI? Thank you!"
686,"hello sir i&#39;m from india,i am a student of data science so i want to buy a mac m1(8gb ram &amp; 256gb ssd) if i install UTM virtual machine after then i install windows 10 then can i use python,R,Tableu,Power Bi,Ms word ,Ms excel etc windows applications how will it be works ? <br>is UTM virtual machine will be installed on mac m1?"
687,Is Parallels good for your SSD? I had it open for 6 hours amd it has written 300GB of memory to SSD. I have an 8GB RAM and used a 4GB CPU/GPU on Parallels.
688,"Hi mate! How are you? I just bought my Dell xps13 9310 and the fun it’s making too much noise, I mean, a lot. Is that normal on Dell’s PC. Another question, how is your Mac M1 working with power BI and SQL ? Is it the same as windows on a pc? I was thinking about to replace my dell for a Mac to use this programs  with a big amount of data.<br>Thank you👍🏻"
689,Like
690,you mean i just paid $280 for windows that will to work on Apple WTF
691,Are you using a 8gb MacBook air M1?
692,"Love mac hardware, want windows software 😭"
693,Beersmith as an example!! Are you a homebrewer?
694,"People say Parallels work better now but something about allocating resources separately just to run a subpar Windows on a $3000 laptop doesn’t sit right with me. And the software is not even free. <br>I really miss Bootcamp, if I had known the new MB didn’t offer it I would’ve not bought it."
695,Pure gold. Thanks my dude. You got my sub!
696,"Luke, awesome video overview especially for someone who&#39;s trying to understand how to launch Parallells on Macbook. Now that v17 is available, they support Windows 11 now on Macbook, which is awesome!"
697,wait what about windows 365
698,So why not consider a one time purchase of a mini-pc for a couple of hundred bucks and remote into it.  One time expense.
699,"30 cents per hour doesn&#39;t seem like a lot, until you multiply that by (say) 12 hours per day, 20-30 days per month and it quickly becomes absurd. PLUS MS has said that they will NOT be supporting Windows on M1 Macs. Ever. So you&#39;ll be stuck paying $100 per month for Windows, forever. Unless you, you know, just buy a Windows laptop."
700,That’s putting garbage in your designer closet
701,"Does anyone know how to download parallels to an external hd? I am trying to play steam games that are windows based but even though I download to the external, it also downloads all gigs of memory to each game onto parallels which is on my Mac M1 hd. Very frustrating. M1 only has 256gig hd vs 2tb external. Please help!!! :)"
702,"Hi Luke,  Honestly love your content! Great detail and explained in a simple but effective way. luke I have one question is next year 2022 my joining my Master program in  Business analysis. my question is I&#39;m debating between Mac or Windows laptop do you suggest? I&#39;m so confused right now can you help me out ??"
703,Coincidentally; I want to install windows to work on POWER BI! ☻ <br>Thank you.
704,November 2021 and you&#39;re still the only one who managed to explain this whole dilemma to the general public like me. <br>Chapeau 👏👏👏
705,"<a href=""https://www.youtube.com/watch?v=W6N8n99htvw&amp;t=2m40s"">2:40</a> <br>they said that Windows will be able to run natively <br><br><br>Natively means as one <br>basically meaning replace macOS with Windows with no duel boot <br>unless someone can tell me otherwise I stick by my definition of native"
706,Thank you so much! I explored crossover today and it doesn’t work. And I don’t want to pay 130+tax for getting a Parallel Desktop just for light use of some productivity apps on Windows. Amazon desktop seems to be a great option!
707,"In short, Apple sucks and I regret buying the new MacBook with M1. I&#39;ll never buy an Apple product again."
708,So would you recommend this for data science? or you would just recommend for a content creator role?
709,May i request how to install Power BI to  M1 Macbook pro? Please step by step.
710,“And boom there you have it”. Immediately thought of Tipsy Bartender from a couple years back
711,It&#39;s my dream to have this setup at my home.
712,"Hey Luke, nice video! What is the stand you&#39;re using for the MacBook?"
713,"I really love your setup, but i have a question regarding the stand up desk where can I actually find one"
714,"Hello Luke! I would like to know more about extending 2 displays for M1 Mac. In the video, I saw that you used one Starlink hub USB 3.0 to HDMI (I&#39;m clear with it). But for another display, you used another hub and connect to this display through the HDMI (or DP) port of this hub? Please correct me if I was wrong because I heard that this kind of setup will make them duplicated and finally, M1 will export to one external display only."
715,"Hi Luke! Would you care to explain your choice of monitors, specs, and why you prefer two side-by-side instead of an ultra wide? Thanks!"
716,Does your KVM switch allow you to hook up your Mac mouse/keyboard? Do I need anything special to do this?
717,"Hi, thank you for the video.  Would you also share the information for the stand that combines the two monitors?"
718,At this point can we just all admit that the reason we prefer dual monitor setups is so that we have a dedicated screen for Stack Overflow?
719,You ever thought about putting a panel equal to the lowest height you&#39;d lower your desk to cover up the cables?
720,Very helpful. Which monitors do you use?
721,Why don&#39;t you get a pet dog !!! Just saying 😂
722,"Great content, Luke. Keep it up. Was wondering, with multiple monitors in your setup, if you do anything to protect your face/eyes from monitor light? Is it a concern?"
723,Nice set-up!!! How did you attach those Creative Pebble speakers to the monitors?
724,Great video! Just subscribed. I was wondering what KVM switch you’re using as I have a similar setup. Thanks mate. 👍😊
725,Thanks Luke for the StarTech DisplayLink. Game changer!
726,"Everytime I see WFH, my mind thinks it as WTF initially😂"
727,"This channel is a good blend between data analytics, humor and, in this case, setup. Congratulations! Regards from argentina"
728,Setup of the bikes?
729,I would love to see an update of this video and maybe a tutorial on how to setup two separate environments (rosetta and natively) on a m1 mac
730,Thanks Luke. Hello from Brazil
731,Luke I’ve been missing your videos! Can’t wait for you to compare the 16inch base MacBook with the new M1 Mac’s!
732,"Hi Luke, will you test the upcoming new MacBook air and MacBook pro? I still can&#39;t make up my mind to wait for new one or get the M1 instead."
733,Any updates in package support?
734,"Will the python from different soures be different? For example, the python installed by conda and python installed by brew, or by macos terminal directly."
735,Is 8 gb ram enough?
736,Do you know if the MacBook Air 8GB is sufficient to build iOS/iPadOS apps? Should I just get the MacBook Pro to take advantage of the fan to keep the CPU cooled down for long sessions?
737,Can i use flask by installing native python 3.9 natively on m1 ?
738,Good videos!<br>Have you any information of how STATA works on apple M1?<br>Thanks a lot!
739,"wish all developing tools get optimized soon ..  ​ @Luke Barousse  what screen(monitor), keyboard, and mouse combo you use in the video"
740,thanks for sharing! Great to see this kind of testing instead of numerous video editing/benchmark reviews
741,import timeit<br><br>a = 1<br><br>while a &lt; 100000 :<br>    a+= 1<br>    print(a)<br><br>print (timeit.default_timer())<br><br>does this count as the same loop test ?
742,I am a new Mac user and windows python user can you show me or make a video to show how you get python to run without Rosanna thank you
743,Keep at it :)
744,"Hey Luke, can we get your email for contacting regarding freelance data science job from offshore"
745,nice job!
746,"Nice content, looking forward to more .."
747,"super love. this result is consistent with mine, which runs time series for algo-trading by using pandas and statsmodels. Thank you Luke"
748,Good content..!!! Can u also check  Visual Studio performance..
749,"If you&#39;re curious on how the M1 Mac compares to an Intel Mac check out this video:  <a href=""https://www.youtube.com/watch?v=vyPm2fOyS7Y"">https://www.youtube.com/watch?v=vyPm2fOyS7Y</a>"
750,"Is this video of an actual software developer elaborating on whether or not buy an m1 mac based on his experience of daily usage instead of doing benchmarks and video editing ? Holy smokes wish there were more people like you, thx for the review man"
751,thank you very much that was very informative !
752,"People need to understad that the system will use the ram if it is available there. I have 32gb ram on my windows machine and 16 is utilized. All I am using is browser and some office applications, and pdf. I bought 8gb Macbook Air and it uses less than 8 gb because that&#39;s what the system is given. I can run vs code, run some code, have some office programs<br><br>Having said that,16gb will make your computer future proof. I think 16 should already be the norm. The mobile phones have 6 gb ram nowadays. I am planning to keep my computer for next 3 years,, I think I will manage."
753,"Thank you so much Luke, you really helped me make my choice"
754,"Thank you, Luke! How can I run windows version of MS Excel and Power BI on MBA M1? I need to use power query and it looks like it’s not available on Mac’s version of Excel."
755,tks a lot for your sharing
756,"once again you&#39;ve gave direct answer I for exact match question I was wondering about , keep it up, Luke"
757,thanks bro this helped me decide between the two
758,Would MacBook Pro 13&#39; will be enough for students who are studying data science in college?
759,"Hi, thanks for the video. I&#39;ve been wondering - if I purchase the air and upgrade to the 16GB RAM, won&#39;t there be a bottlenecking issue (will the available RAM actually be less than 16GB)?"
760,Could you please tell me that should I go for MB air (16/512) 8 core GPU or MB pro (16/256). I am beginner in programming and also I&#39;m gonna use it for photo editing and mild video editing.
761,"Luke.. you should teach other YouTubers how to respect own viewers. I’m shocked for how many questions you answered, big respect and no ego! 🤝"
762,What would you recommend for computer vision and ml
763,Dose tableau work in M1 ?<br>Thank you
764,I am a Neuroscientist I use some python a lot of R and SPSS for my own research... I also run big huge files of climatic data for a side job to correlate with geographic and animal distributions.. what do you think o the New MacBook Pro M1 PRO and MAX (October 2021)?
765,"You&#39;re just reading documentation on video,lol"
766,Tell me please. Did I understand correctly that 8 gigabytes will not be enough to work comfortably with 5-10 tabs in Google Chrome + PyCharm?<br><br>ps. I want buy Mac Mini
767,"Hi, I will work with analysis of data, python, .NET/C#, also basic statistics and data manipulation, I usually have a lot of tabs open, using android studio, visual code, but i don&#39;t know which one to choose, can you help me please?"
768,"What about the high SSD writes?  I’ve been waiting until there’s a 32gb RAM option because of the projected 2 to 3 year lifespan of the SSD.   My logic was less RAM, more swap, more RAM, less swap used."
769,"I love it! Yes, 1-2 minutes would be perfect."
770,"You were not kidding about &quot;shorts&quot; :xP , it is way too short. Please make it like 1-2 mins atleast so that its easier to follow"
771,"If you&#39;re getting the M1 Mac check out this video to help decide between the Pro and the Air: <a href=""https://www.youtube.com/watch?v=xzR4L_XYW3g"">https://www.youtube.com/watch?v=xzR4L_XYW3g</a>"
772,"It&#39;s been a year now. Curious, as a data science student should I go for 16gb M1 MBA or the 14 MBP base model."
773,"Hey Luke ! This video is really helpful. I have a question though. How good is the MAC when it comes to Pyhton Deep Learning such as Image classification, neural networks, etc. ?"
774,Hello there Mr Barousse.<br>I wanna order a new MacBook with m1 chip. But it&#39;s important for me that I can run Bioinformatics programs specifically GROMACS. Could you please help me and check out that Can I run GROMACS on m1 MacBook?<br>Best regards
775,Thanks for the video. Any updates on Tableu and Power BI compatibility with the M1? I’m looking to get on for an MSBA starting in January
776,"What about Stata, R and Python? I&#39;m economics student"
777,"Hello Luke, could you teach me how to install power bi in M1 Pro &amp; R, tableau, please! thank you so much"
778,"CE here, just want to clarify… silicon  is pronounced sili-Kin. Sili-Cone is a rubber like plastic.  Silicon vs silicone."
779,"I am curious if this suggestion has changed at all and what, if any, is changed with the new M1X and the ability to have more than 16GB of RAM in the MacBook Pro now.   My son is in college and he is studying data science and has had a MacBook Pro (Intel) that is around 6 years old and I was debating giving him my 16&quot; Intel MacBook Pro from last year or getting him another computer.   I look at the current AMD/Intel Microsoft Windows laptops but honestly they seem horrible when compared to the new M1X laptops.   I am just curious how significant running Microsoft Windows still is for a Data Scientist in todays world."
780,I wonder how it compares to an i9 intel mb pro?
781,"Thank you so much for your Content.<br>I’m beginner of data science course . <br>How do you think MAC M1 suitable for Data science ? <br>( deep learning , machine learning )"
782,"I pretty enjoy working on the M1 MacBook Pro but I also hate it because the Mac version Excel doesn&#39;t come with the POWER SUITS (query/pivot/map). <br>On the other hand, I like to use XLWINGS to automate some procedures with Python. Due to the fact that different api was called on Windows PC and Mac OS (win32 versus appscript), the way you call each method and attribute are also different. XLWINGS official documentation doesn’t provide a complete tutorial on how to use XLWINGS on Mac OS. <br>Both of these reasons made me turn back to Windows PC."
783,"I’m data engineer. So I use tools for data viz, data analysis(python, scala) and etc. do u think it’s okay to buy macbook pro m1? Can m1 handle it?"
784,"Hey Luke..great review..<br>I just want to know which would be the best option for data science .all the software like tableu ,R ,apache spark etc all which are used to learn data science.<br>M1 or intel i5 or ryzen 7"
785,"I feel like lack of M1 support for Python, Tableau, Power BI, and R Studio makes this not ideal.  Perhaps I don’t understand clearly how Resetto works by mimic-ing an intel chip, but that seems like there’s some virtualization going on which could be another layer of complexity."
786,you can use parallels on M1 machines to run vm machines and adopt windows features on your research
787,Hello my irani please add language iran(Persian )  to translate your video tanks 💙💙
788,"Hi Luke, thanks for uploading this informative video. In terms of some libraries used in python but do not work properly on m1 MacBook. Do you have any issues installing scipy or seaborn under python apple silicon? Thanks."
789,"This right here. THIS is THE video I was looking for and I absolutely needed.<br>I’m currently an undergraduate Finance student, and I’d also love to learn basics to start diving into Fintech world and build a career. Who knows.<br>I read a lot of negative opinions about the performance of Excel on M1 but no proof. In the end I’m just a beginner. I have trust in what I have just witnessed in this video, perform basic operations and functions with Excel program and light coding is what I need at the moment.<br>The main problem I encounter too often with Windows laptops is the pairing with all my Apple devices – what a pity. Maybe I’ll get one in the future for work, like you did. But for my usage and level, I guess I’ll just need the bare minimum.<br>This video was vital for my definitive choice.<br>I’ll get the MacBook.<br><br>I’ve also just started to give a look at your YT channel. Amazing quality videos, aesthetic and appearance. Very interesting contents.<br><br>Here you go. A new subscriber. Thank you so much for the work you do and the passion you put in it. Greetings from Italy!"
790,Will apple macbook pro m1 be good for machine learning
791,"Hi Luke, I like your content ! Can I add you on LinkedIn ?"
792,"Best and straight to the point explanation,thanks"
793,Did I miss your mention of Book you recommend?
794,"Hello Luke, i really enjoy your videos and you really inspired me to learn excel and sql. I got a question, do you need to be proficient in coding to become a data scientist?"
795,Luke do recommend learning Data Structures and Algorithms + Design Patterns if you&#39;re interested in a data related career?
796,You look like Mark Zuc when you speaking kk
797,Django or D-jango
798,"Good video but everytime that he says D—jango, I cringe"
799,Loved your intro
800,Any book recommendations for beginners?
801,This ideas are like a fresh sip of ORANGE juice!
802,You have great posture (no homo).
803,Contributing is a great way to learn. Ie teaching. Great point
804,Waahh what a fantastic video man suuperb
805,this is exactly how I feel somedays but I keep pushing though I&#39;m in a bootcamp right now so I kinda have to keep plugging away atleast I don&#39;t get that frustrated just kind of down.
806,This looks like Kalle Halden’s older brother
807,"Oh Django is a steep learning curse, especially for a beginner!!"
808,Grt Video.......&amp; I hope you hv got sponsors now.... :)
809,"Could you share your suggested reading list, please?"
810,You got yourself a sub. Thanks
811,"One important thing you didn&#39;t talk about is having a specific field you&#39;re interested in. In my case, I am a geographer and I learned python in relation to spatial data analysis. It helped me keep focused and interested"
812,"Hey Luke, thanks for all your content, just wanted to leave my message that you are a great motivation for a young Brazilian with seventeen years old, looking to improve every day. Success always."
813,Just finish this Series. It was very helpful. I have never understand Python this much clearly by any video. Thank you very much. Highly appreciable.
814,"This is great, thanks you"
815,"Hi Luke, thanks for this series really enjoyed working through the problems. I have noticed that part 6 doesn&#39;t have a Jupyter notebook for it on Github, any chance it could be shared?"
816,"I love it, thanks for your help."
817,Is this series discontinued?
818,KEEP THIS UP - I love it my man
819,Hi Luke - I&#39;ve just got to your channel and I&#39;ve already watched more than 10 videos. Its been really helpful please keep this up. Looking forward for more videos from you. Thank you for sharing your knowledge. Kudos to you mate!
820,Thank you so much I learned python in just 5 videos! I hope I become a data scientist like you
821,Thanks so much for this! Greetings from Brazil.
822,Please make more tutorials i love these pls complete the series with other libraries as well
823,"Congratulations on the first thousand subs. I have a feeling this will escalate!<br><br>By the way, your presentations are uncommonly great for tablet viewing - very clear, legible and concise."
824,Super helpful!
825,2nd time subscribing for some reason.
826,"This is a well made tutorial. I liked the presentation very much.<br>I found that when trying to create a list with numbers from 1-100 using the range function, the correct expression would be range(1,101) since the last number i.e. 101 is not included. <br>range(100) would give you a list from 0 to 99 only, i.e.  0,1,2,3,4,5.....95,96,97,98,99"
827,"Wow, well done I am going through a lot of Python tutorials but believe me your way of teaching is far better than all of them. Thanks a lot please keep making these tutorials you are doing great job."
828,Beautifully done!
829,"Good content, are you planning for pandas and numpy videos?"
830,"Hello Luke, when I execute the commands to obtain the list of all lines (in your tutorial you run those command at minute  <a href=""https://www.youtube.com/watch?v=NnfbVOt9IR0&amp;t=19m35s"">19:35</a>), unfortunately the first line that comes out is from episode 3 (&quot;Good luck. [closes door and locks it]&quot;).   :( :( I tried and tried to understand why, but without success. Where does this issue come from? Thanks in advance..."
831,great
832,"Love the way you implement Python to a well-known sitcom, makes learning process much more entertaining.<br>I shall take &quot;Parks and Recreation&quot; script and do some similar stuff in order to sustain new aquired skills.<br>Thank you!"
833,"Ever since I came across your channel, I&#39;ve become extremely interested in DATA science.  Really great content. Keep it up!. Hoping that your channel grows into something big!!"
834,"neatly explained, thank u so much"
835,I didn&#39;t get it when you assigned the previous_item to the item. Can you share how you defined previous_item
836,Wondering what interface you&#39;re using? It says Jupyter server but it doesnt &#39;look&#39; like JupyterNotebook or JupyterLab.
837,this helps! very nicely explained. thank you!
838,Thanks for sharing.
839,"I&#39;m so glad I ran into your videos, your methodology is great, I&#39;m learning a lot and it&#39;s making me more sure about entering this field! Thanks a lot Luke!"
840,"Hello Luke, thanks for this tutorial...The ability that you have in explaining these concepts is pure talent! I have one question regarding the &quot;Application&quot; part: when I created my code and then I compared it to your solution, I noticed that I didn&#39;t put the first &quot;else:&quot; (the one under the &quot;Re-enter the name&quot; line), while you have put that &quot;else&quot; instead. Despite this my code worked perfectly. So my question is: is it necessary to put that &quot;else&quot;, or is it rather a matter of &quot;making the code as beautiful, clear and tidy as possible&quot;? Thanks in advance! Regards"
841,good job
842,thanks amigo
843,"I followed through your tutorial while being on jupyter : in <a href=""https://www.youtube.com/watch?v=eCN_GRRAoF8&amp;t=9m45s"">9:45</a> it gave me a syntax warning when i wrote ; 1 is 1 !!"
844,"This was very helpful, thank you!"
845,Thank you.
846,thanks really helpful
847,Hey fellow data nerd! Helpful video.
848,Thanks for making these videos they&#39;re really helpful to beginners.
849,"THANK YOU SO MUCH. YOU ARE APPRECIATED ALL OVER THE WORLD! GREETINGS. &quot;Funny&quot; thing: it took me more than two days to complete this tutorial, because I COPIED ALL THE CODES BY MYSELF. I realized what the material was for only at the moment of the exercises, where I told myself: &quot;No, there must be a solution for this long code with all the names of the actors who had a line&quot; LOL. But I don&#39;t regret it at all, because being new to Python I learned a lot by coding by myself!!!  THANK YOU SO MUCH LUKE...MARRY ME"
850,This video is fantastic totally a great idea to be included in a portfolio
851,"could you please explain how could jupiter notebook recognise michael_count at <a href=""https://www.youtube.com/watch?v=-3S_fS4yNA8&amp;t=15m32s"">15:32</a> even this variable wasn&#39;t defined?"
852,The best part is that you use examples from &quot;the office&quot; which is my favorite serie. Thanks for this knowledge
853,Amazing video man❤️
854,"so far im on <del>while loops</del> in python, but i only wanna learn it for data analytics and visualization! Just curious to see if i need to learn advanced math concepts."
855,"Hi Luke,  have followed many Python basics tutorials in the field of Data Analytics, yours are really among the top out there. You have earned my subscription to your channel. Keep up the good work with your tutorials!"
856,Very interesting way of teaching by you sir. Loved the way you teach by doing exercises with real examples. Thanks a lot for this videos. And please keep this playlist running.
857,"Let&#39;s make this series popular, it deserves it!"
858,"Dude you are a talent!! The short question I working in Web marketing and have a lot of data sales, ads, etc and I wish I knew how to use all this data to analyze and predict the outcome and what to do next, etc... this is why I want to learn data analysis you think the IBM course will fit for this job? or Google \ I just want to learn work with pytthon and Google don&#39;t teach this plus I want to finish as quick as I can I have 2-3 months Free to teach my self and from what I understand IBM course is fewer hours than Google<br><br>I have data from Google ads(how much ads cost what keywords etc) From the store I have data such as what product sold with what keyword, date of sale, time category, etc<br>I just thinking of the possibilities If I knew how to impropriate all this data I could bring more sales lower the price for ads, know what months best, hours, etc..<br>right now I doing it in google spreadsheet but it&#39;s really basic ( I want to under stand what I can do with all the data in my hands) since I understand that data = power!!"
859,"Thank you you so much, I don&#39;t know why but after The &quot;re-enter&quot; it&#39;s just stop my code <br><br>1) First collect the name<br><br>firstinput=input(&#39;Hello what is your fav cast member?: &#39;)<br><br>2)check if the name in the list and print it<br><br>if firstinput not in cast_members:<br>    print(&#39;\n This is not a cast Member\n&#39;)<br>    firstinput=input(&#39;Please Re-enter: &#39;)<br><br>3) else check if this Michel Jim or Pam<br><br>else:<br>    if firstinput==&#39;Michael&#39; or firstinput==&#39;Jim&#39; or firstinput==&#39;Pam&#39;:<br>        print(f&#39;Yes {firstinput} is my fav chr&#39;)<br><br><br>    elif firstinput != &quot;Angela&quot; and firstinput !=&quot;Dwight&quot;:<br>        print(firstinput + &quot;yes this are really good chr&quot;)<br><br>    else: print (firstinput + &quot;hate them&quot;)"
860,grt vids and all these office references......U are a man of culture :)
861,"Very hard to find videos in field of data analytics, I would recommend &quot;a day in a life of....&quot;style of video for data analytics to show that this industry is as interesting as any other matured industry"
862,This is how its done sir..
863,No idea on how this vid has so low views. Fantastic work
864,Thank You fr this <br>Its really helpful ✌🏻
865,I just want to learn this for the office thing
866,This is the best playlist in all YouTube
867,"i will watch all ads, thanks for sharing your kowledge."
868,Great stuff taught in comprehensible way. I want your advice that how to actually retain Pandas or SQL syntax. Should I go through lectures and practice along with it. Or just finish entire module and then take up projects. Since there are too many commands and its really difficult to recall them all the time. I end up wasting time chunk of time in correcting syntax to get desired result. Really difficult to recall exact command/syntax unless going back and forth to documentation. Appreciate your assistance.
869,thans really hellpful
870,I. M from sudan do think can i watch this curse and i Learning from it. S
871,That sunburn though :P<br>Great video Luke. Keep it up!
872,"Thanks for creating this, looking forward to following along!"
873,"All I can say is thank God for these  series of videos. But I honestly can&#39;t believe that well into the 21st century, you can&#39;t just open the program and start coding.  It&#39;s like having to walk 5 miles to draw water from a well to take home just to make a cup of tea. Anyway, really appreciate the content, many thanks."
874,"Hi Luke! I am used to work with R and markdown which has similar code cells and the output below them, however, in R+markdown I can run just the line where my cursor is on even if it is in a code cell using CMD + Enter, instead of the whole code cell. Is there some way I can do that in Jupyter notebooks? I searched a bit and someone suggested I should install a debugger since that is what it is called but I still have no luck in doing this.<br><br>Interesting videos, keep up the good work!"
875,"thanks for the information, really helpful"
876,LIKE
877,what about Spyder?
878,Thanks very useful video!
879,this video is gold!! Thank you!!!
880,Why do you suggest creating a new environment for each new project? Does that mean that you have to install special packages again in that new env?
881,Cool - thanks!
882,When i import pandas i always get an error that the module is not recognized.. I want to note that i already installed anaconda and the pandas module but i get the same error. I would appreciate a lot some help
883,"great series, really helped me understand how to use virtual environments with anaconda and how to use jupyter notebooks within VSCode. Loved the visuals as well"
884,"<a href=""https://www.youtube.com/watch?v=UuwlySU7Hjg&amp;t=15m32s"">15:32</a> is that control + option + N on Mac?"
885,"I have a question, when I use jupyter the syntax colours are like dark blue for keywords and operators, dark red for strings,etc. Which is undreadable in dark mode, how can I fix that."
886,"The video has been really helpful. Your efforts are much appreciated.<br><br>Question: When I try to export the jupyter notebook to pdf in vs code, it always shows an error &quot;Export failed, please check jupyter output panel for further details&quot;. I am new to programming and data science &amp; I can&#39;t figure out the solution to this problem. Can you help?"
887,Thanks luke it was wonderful
888,"This video was really helpful, your explanations were clear and easy to follow. Thank you very much!"
889,"Hello friend! I’m student of data science, and use python and R language.<br>I’m from Brazil and followed in your channel, and in your personal site too.<br>Congrats for your explanation! The better was R versus Python!"
890,"Congratulations on the channel! I have a question, how do you set up the terminal like yours,  when you start typing it autocompletes and suggests you how to finish the script, in light gray?<br>Currently it only works for me by pressing e tab, but not always.<br>I have a mac. Thanks!"
